,lightRed,lightGreen,lightBlue,sobelFilter,TThumbText_offici,TThumbText_trailer,TThumbText_vevo,TThumbText_live,TThumbText_news,TThumbText_jimmi,TThumbText_beatdown,TThumbText_watch,TThumbText_happen,TThumbText_mum,thumbnailDescription,numOfFaces
0,156.5586111111111,123.34988425925926,109.11375771604938,0.084025478801678,False,False,False,False,False,False,False,False,False,False,lipstick,2
1,124.82408179012346,123.23372685185186,118.12427469135802,0.0357536111349862,False,False,False,False,False,False,False,False,False,False,television,1
2,111.61815586419752,107.66148148148147,95.61256944444445,0.0788776814805265,False,False,False,False,False,False,False,False,False,False,web_site,1
3,138.03421296296295,103.15199074074074,116.71493827160494,0.088098841323688,False,False,False,False,False,False,False,False,False,False,television,7
4,152.2753086419753,152.12510030864198,153.67851080246913,0.0342874668263059,False,False,False,False,False,False,False,False,False,False,mountain_bike,0
5,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,,0
6,45.30133487654321,37.10112654320988,36.73108796296296,0.0461625867568401,False,False,False,False,False,False,False,False,False,False,fountain,0
7,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,,0
8,129.41283179012345,116.82452932098764,101.30263117283953,0.0718566539405267,False,False,False,False,False,False,False,False,False,False,brassiere,2
9,126.6842361111111,126.6842361111111,126.6842361111111,0.1343105063997339,False,False,False,False,False,False,False,False,False,False,coil,0
10,102.37050925925926,102.37050925925926,102.37050925925926,0.057494722948341,False,False,False,False,False,False,False,False,False,False,barbershop,1
11,190.480925925926,163.85314043209877,185.77469907407408,0.0640750948240621,False,False,False,False,False,False,False,False,False,False,cellular_telephone,0
12,63.59668209876544,48.72118827160494,36.50183641975308,0.06777163075016,False,False,False,False,False,False,False,False,False,False,web_site,3
13,121.623125,115.7939737654321,97.32287037037035,0.1165510231790732,False,False,False,False,False,False,False,False,False,False,television,4
14,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,,0
15,17.701689814814817,14.077191358024692,13.085887345679012,0.0207684724233827,False,False,False,False,False,False,False,False,False,False,television,1
16,141.17234567901235,119.79506172839504,110.8598225308642,0.088081264140612,False,False,False,False,False,False,False,False,False,False,web_site,1
17,121.35300154320988,128.29090277777777,122.22316358024692,0.0948454579437781,False,False,False,False,False,False,False,False,False,False,web_site,1
18,106.01530092592591,112.30051697530864,111.51773148148148,0.0899925803172799,False,False,False,False,True,False,False,False,False,False,web_site,2
19,246.8470601851852,198.0616280864197,194.6667129629629,0.0958203829785776,False,False,False,False,False,False,False,False,False,False,web_site,0
20,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,,0
21,183.8441049382716,171.17255401234567,176.63505401234568,0.0577798197565409,False,False,False,False,False,False,False,False,False,False,web_site,3
22,173.28767746913582,133.4948611111111,148.32308641975308,0.115932488947423,False,False,False,False,False,False,False,False,False,False,web_site,2
23,58.90876543209877,48.63739969135803,47.06098765432099,0.068846799430211,False,False,False,False,False,False,False,False,False,False,television,2
24,125.43269290123456,101.4667901234568,83.30027777777778,0.106822162579631,False,False,False,False,False,False,True,False,False,False,comic_book,3
25,97.91791666666668,77.03150462962962,60.33583333333333,0.0778035858652746,True,True,False,False,False,False,False,False,False,False,teddy,1
26,176.2799537037037,159.26434413580247,116.16797067901234,0.1216137098225006,False,False,False,False,False,False,False,False,False,False,web_site,0
27,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,,0
28,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,,0
29,75.74892746913581,61.786759259259256,41.272283950617286,0.0668190428512352,False,False,False,False,False,False,False,False,False,False,web_site,1
30,142.5119212962963,125.5302237654321,133.31274691358024,0.0578636435385028,False,False,False,False,False,False,False,False,False,False,television,1
31,96.87243827160492,88.94789351851851,76.06555555555556,0.0660265811053219,True,False,False,False,False,False,False,False,False,False,web_site,1
32,170.95956018518518,167.87672839506172,147.36844907407408,0.0840214976444662,False,False,False,False,False,False,False,False,False,False,mountain_bike,0
33,79.88513117283951,79.52667438271605,113.94731481481482,0.1363762513878824,False,False,False,False,False,False,False,False,False,False,television,4
34,137.06675154320988,72.04157407407408,102.84104166666668,0.1364604311222965,False,False,False,False,False,False,False,False,False,False,web_site,1
35,108.8001774691358,79.39168981481481,66.16270061728395,0.0850646933538551,False,False,False,False,False,False,False,False,False,False,web_site,2
36,94.9666512345679,90.3360725308642,87.54940586419752,0.0563762949855106,False,False,False,False,False,False,False,False,False,False,television,1
