video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_video,TTitle_thi,TTitle_music,TTitle_show,TTitle_channel,TTitle_wa,TTitle_new,TTitle_can,TTitle_us,TTitle_live,TDesc_offici,TDesc_2018,TDesc_video,TDesc_trailer,TDesc_live,TDesc_london,TDesc_new,TDesc_music,TDesc_ft,TDesc_2,TTags_none,TTags_music,TTags_funny,TTags_comedy,TTags_london,TTags_2018,TTags_video,TTags_interview,TTags_uk,TTags_vlog,lightRed,lightGreen,lightBlue,sobelFilter,TThumbText_offici,TThumbText_trailer,TThumbText_live,TThumbText_vevo,TThumbText_news,TThumbText_mum,TThumbText_jimmi,TThumbText_vocal,TThumbText_coach,TThumbText_beatdown,numOfFaces
UsciN7COX1g,2788033,39291,2447,5223,False,False,False,96,0.09375,False,False,4,371,0.12668463611859837,True,True,False,39,30,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,98.27159722222223,36.807060185185186,35.90462962962963,0.12642442618039368,False,False,False,False,False,False,False,False,False,False,1
Ut7e-0X8lds,2834549,8422,9114,29896,False,False,False,52,0.05769230769230771,False,False,6,182,0.0494505494505495,False,False,False,14,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,113.35860339506173,107.36824845679013,109.78406635802469,0.1012080290219879,False,False,False,False,False,False,False,False,False,False,1
UtuUGoN6HPo,333699,3313,691,1156,False,False,False,60,0.18333333333333335,False,False,8,2020,0.12871287128712872,True,True,False,251,25,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,87.43847222222222,78.64963734567901,80.29168209876543,0.04576787593727665,False,False,False,False,False,False,False,False,False,False,1
UuCq8mtK8J4,13935992,268812,5129,7278,False,False,False,32,0.21875,False,False,2,491,0.12423625254582482,True,True,False,64,11,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,161.4654938271605,159.37807098765433,138.2573688271605,0.11703028811066583,False,False,False,False,False,False,False,False,False,False,2
UuGl1BVCr1Q,928963,4605,399,859,False,False,False,47,0.12765957446808507,False,False,3,2064,0.1298449612403101,True,True,False,195,26,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,60.67212962962963,51.84948302469136,63.59305555555556,0.06480319776351451,False,False,False,False,False,False,True,False,False,False,2
Uv1xscwDtIQ,1397537,18813,1563,1534,False,False,False,57,0.10526315789473684,True,True,6,1836,0.11111111111111116,True,True,False,194,15,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,156.9934799382716,142.0210725308642,122.54775462962964,0.0764929036318936,False,False,False,False,False,False,False,False,False,False,1
UvDJ-ZdHiSg,4069209,181150,5446,8636,False,False,False,53,0.30188679245283023,False,False,7,301,0.10631229235880402,True,True,False,49,14,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24.80255401234568,28.314976851851853,33.952523148148146,0.031072259368993414,False,False,False,False,False,False,False,False,False,False,1
UwItKU4CxMQ,1887155,77455,2044,13168,False,False,False,93,0.15053763440860213,False,False,8,4897,0.08209107616908307,True,True,True,827,43,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,185.61646604938272,149.2053163580247,138.51496913580246,0.10314705366676691,False,False,False,False,False,False,False,False,False,False,3
UwdLlnPaRAU,721001,21204,248,1454,False,False,False,77,0.18181818181818177,False,False,6,1147,0.10200523103748915,True,True,False,136,28,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,177.51663580246912,168.48703703703703,161.31858796296297,0.0681565294326103,False,False,False,False,False,False,False,False,False,False,1
Ux7f_eqeLYw,32797,2069,29,97,False,False,False,51,0.196078431372549,False,False,6,883,0.08493771234428082,True,True,False,101,7,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,117.05059413580247,92.39367283950617,100.88740740740741,0.07160031223562772,False,False,False,False,False,False,False,False,False,False,2
Uy5ATBR15yw,676464,7168,198,3419,False,False,False,32,0.1875,False,False,3,92,0.07608695652173914,False,False,False,7,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,102.35899691358024,87.55996913580248,107.8225,0.07921758832415127,False,False,False,False,False,False,False,False,False,False,1
Uz-uEW_Rur4,27322,989,18,65,False,False,False,37,0.1351351351351351,False,False,4,863,0.17497103128621094,True,True,False,108,17,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,85.66300154320987,96.93463734567901,104.43346450617284,0.0516740798664753,False,False,False,False,False,False,False,False,False,False,0
V-F7tpdPZ-E,5810628,74731,2251,8651,False,False,False,54,0.18518518518518523,False,False,2,1485,0.10505050505050506,True,True,False,168,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,151.75690586419753,138.26876543209877,124.79480709876543,0.0846299163210528,False,False,False,False,False,False,False,False,False,False,0
V0HCZ4YGqbw,3803572,308595,6534,35348,False,False,False,30,0.033333333333333326,False,False,0,527,0.05123339658444026,True,True,False,103,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,81.30770061728396,84.61421296296297,96.95651234567902,0.10103664032105107,False,False,False,False,False,False,False,False,False,False,1
V0nfRcc4PJ0,112351,7398,469,1726,False,False,False,45,0.1333333333333333,False,False,2,76,0.11842105263157898,False,False,False,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,155.50681327160493,132.25709104938272,124.09191358024691,0.11571845362032178,False,False,False,False,False,False,False,False,False,False,2
