video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_2018,TTitle_trailer,TTitle_vs,TTitle_2017,TTitle_new,TTitle_live,TTitle_make,TTitle_ft,TDesc_video,TDesc_follow,TDesc_thi,TDesc_subscrib,TDesc_twitter,TDesc_facebook,TDesc_instagram,TDesc_watch,TDesc_get,TDesc_like,TTags_funny,TTags_comedy,TTags_humor,TTags_music,TTags_[none],TTags_interview,TTags_comedian,TTags_celebrity,TTags_television,TTags_news
-C5q3oir8gA,834586,17702,917,1680,False,False,False,23,0.17391304347826086,False,False,3,1297,0.06939090208172705,True,True,True,196,28,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-EL8TuMsb-k,565288,20907,423,2256,False,False,False,70,0.5571428571428572,False,False,3,2947,0.15100101798439092,True,True,False,468,25,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
-R9F2_D76TE,359141,8950,326,1223,False,False,False,53,0.13207547169811318,False,False,5,2522,0.08604282315622525,True,True,True,207,21,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
-W6v2_0evUU,485433,19128,1622,1278,False,False,False,43,0.11627906976744184,False,False,3,2219,0.03740423614240651,True,True,False,238,22,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0-7wMD5ISIs,6647081,232199,13512,15366,False,False,False,44,0.8863636363636364,False,False,0,1145,0.06637554585152838,True,True,False,213,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-M5C7sQdGI,185891,5248,111,411,False,False,False,46,0.13043478260869568,False,False,3,331,0.06646525679758308,True,True,False,34,13,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0-_h-qFt_zs,26117,1178,11,79,False,False,False,36,0.13888888888888884,False,False,4,2162,0.12164662349676225,True,True,False,215,4,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-yiRIWkhLo,319104,8929,130,462,False,False,False,66,0.16666666666666663,False,False,2,1206,0.10696517412935325,True,True,False,133,38,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False
00RpZZThSAs,1217872,38111,2850,7038,False,False,False,42,0.16666666666666663,False,False,4,1178,0.20118845500848892,True,True,True,125,16,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
00mdcc9o28A,628234,12672,208,701,False,False,False,59,0.13559322033898302,False,False,5,1290,0.0968992248062015,True,True,False,148,37,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False
00nmxR1mxIA,833977,11517,984,1039,False,False,False,57,0.17543859649122806,False,False,4,1515,0.11485148514851484,True,True,False,152,30,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False
01AEuxSlIMg,275180,942,75,140,False,False,False,75,0.21333333333333337,False,False,4,977,0.07164790174002045,True,True,False,130,19,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
02N508BDngc,1199750,45344,1072,4502,False,False,False,43,0.16279069767441856,False,False,0,1157,0.1235955056179775,True,True,False,157,44,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
