,text,lightRed,lightGreen,lightBlue,sobelFilter,TThumbText_news,TThumbText_offici,TThumbText_origin,TThumbText_jimmi,TThumbText_trailer,TThumbText_first,TThumbText_watch,TThumbText_happen,TThumbText_vevo,TThumbText_movi
0,[],120.63185185185183,125.19858024691358,133.2304012345679,0.110361835032206,False,False,False,False,False,False,False,False,False,False
1,[],130.3784336419753,137.1416975308642,145.87769290123458,0.1091286591690143,False,False,False,False,False,False,False,False,False,False
2,[],116.56898148148149,95.53314814814814,90.4064274691358,0.0665485675506574,False,False,False,False,False,False,False,False,False,False
3,[],164.4924922839506,133.02825617283952,134.95435956790124,0.1206914374739009,False,False,False,False,False,False,False,False,False,False
4,['showdown'],121.18407407407408,137.21314043209875,149.35336419753085,0.0957542171733096,False,False,False,False,False,False,False,False,False,False
5,[],113.76800154320988,67.86949845679013,62.69295524691358,0.0949263460282755,False,False,False,False,False,False,False,False,False,False
6,[],71.34268518518519,47.47048611111112,45.97578703703704,0.0588180134213612,False,False,False,False,False,False,False,False,False,False
7,[],95.73364969135802,78.88201388888889,87.26148919753086,0.103269084000838,False,False,False,False,False,False,False,False,False,False
8,['san'],69.90036265432099,87.79395061728395,94.0791512345679,0.0779186723002441,False,False,False,False,False,False,False,False,False,False
9,[],77.79671296296296,67.51636574074074,62.16195216049383,0.0723131622618292,False,False,False,False,False,False,False,False,False,False
10,[],114.14565586419754,100.76101080246912,78.31976851851852,0.0919134881730743,False,False,False,False,False,False,False,False,False,False
11,[],69.89273148148148,80.4288348765432,90.25864197530863,0.0918679703627736,False,False,False,False,False,False,False,False,False,False
12,[],203.9333101851852,187.9179706790124,176.97464506172838,0.076841361432366,False,False,False,False,False,False,False,False,False,False
13,[],126.52717592592592,122.70698302469135,135.88974537037038,0.1059715245645654,False,False,False,False,False,False,False,False,False,False
14,[],138.03421296296295,103.15199074074074,116.71493827160494,0.088098841323688,False,False,False,False,False,False,False,False,False,False
15,[],154.59235339506174,149.6979938271605,122.34408950617284,0.1429772984518582,False,False,False,False,False,False,False,False,False,False
16,[],168.16195987654322,128.78629629629629,169.36567129629628,0.1189560257991998,False,False,False,False,False,False,False,False,False,False
17,[],186.1945987654321,171.25951388888888,152.47207561728396,0.0956343558838681,False,False,False,False,False,False,False,False,False,False
18,[],106.22027777777778,115.9070601851852,121.40407407407407,0.0699014111632128,False,False,False,False,False,False,False,False,False,False
19,[],203.111774691358,202.47445216049385,203.5585956790124,0.0191160427593802,False,False,False,False,False,False,False,False,False,False
20,[],1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False
21,[],72.60895061728395,75.68851851851852,70.12888117283951,0.052687617168046,False,False,False,False,False,False,False,False,False,False
22,"['tree', 'gmm']",95.16668209876543,97.6049151234568,97.28599537037036,0.1301013092416862,False,False,False,False,False,False,False,False,False,False
23,[],150.97531635802468,123.48666666666666,111.560625,0.1050834750992715,False,False,False,False,False,False,False,False,False,False
24,"['first', 'star']",55.90281635802469,82.96829475308643,149.2828163580247,0.222626406665787,False,False,False,False,False,True,False,False,False,False
25,[],50.911751543209874,35.1833487654321,32.86628086419753,0.065428074134632,False,False,False,False,False,False,False,False,False,False
26,[],174.98637345679012,148.4431712962963,148.3663811728395,0.1170915200466609,False,False,False,False,False,False,False,False,False,False
27,[],81.2063888888889,67.52627314814815,72.45604166666666,0.0742680472477013,False,False,False,False,False,False,False,False,False,False
28,[],101.34148919753086,103.14565586419754,103.71957561728397,0.0557827046350621,False,False,False,False,False,False,False,False,False,False
29,[],1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False
30,[],117.49416666666669,101.92295524691356,89.23240740740741,0.073810984731889,False,False,False,False,False,False,False,False,False,False
31,[],95.50426697530864,75.37483024691358,69.25081018518519,0.0976524748568189,False,False,False,False,False,False,False,False,False,False
32,['scene'],133.3062422839506,112.04832561728396,109.24716049382717,0.1079613961906412,False,False,False,False,False,False,False,False,False,False
33,[],1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False
34,[],18.92425925925926,53.58798611111112,122.4146913580247,0.1847138549699613,False,False,False,False,False,False,False,False,False,False
35,[],190.340725308642,190.4822762345679,184.681774691358,0.0551306489629143,False,False,False,False,False,False,False,False,False,False
36,[],1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False
37,[],1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False
38,[],56.55952160493827,46.34034722222222,40.56319444444444,0.0543200997078899,False,False,False,False,False,False,False,False,False,False
39,[],1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False
40,[],41.383047839506176,37.98356481481481,56.16344135802469,0.0469619313842049,False,False,False,False,False,False,False,False,False,False
41,[],137.5516049382716,89.77189814814815,58.53838734567901,0.12407104881718,False,False,False,False,False,False,False,False,False,False
42,[],158.8013425925926,119.09783179012344,84.06354166666667,0.1411561470694544,False,False,False,False,False,False,False,False,False,False
43,[],165.95621913580246,132.1364660493827,98.71661265432098,0.1612444716856239,False,False,False,False,False,False,False,False,False,False
44,[],190.08810956790123,168.96370370370371,164.25560185185185,0.0655544281942577,False,False,False,False,False,False,False,False,False,False
45,[],146.3145987654321,128.01702160493826,127.8790200617284,0.0644485796538493,False,False,False,False,False,False,False,False,False,False
46,"['bad', 'lip', 'read']",76.75114197530864,67.60858024691358,50.76640432098765,0.0859350402127922,False,False,False,False,False,False,False,False,False,False
47,[],190.480925925926,163.85314043209877,185.77469907407408,0.0640750948240621,False,False,False,False,False,False,False,False,False,False
