video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_trailer,TTitle_ft,TTitle_2018,TTitle_music,TTitle_new,TTitle_war,TTitle_live,TTitle_2017,TDesc_video,TDesc_show,TDesc_thi,TDesc_music,TDesc_live,TDesc_new,TDesc_jimmi,TDesc_hi,TDesc_twitter,TDesc_late,TTags_funny,TTags_comedy,TTags_music,TTags_[none],TTags_interview,TTags_humor,TTags_trailer,TTags_video,TTags_late night,TTags_comedian
0PW9MWDWLH8,150117,11143,64,899,False,False,False,43,0.5348837209302326,False,False,3,593,0.08768971332209108,True,True,False,64,14,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
0RxhuBwCwMs,665386,8098,436,646,False,False,False,43,0.16279069767441856,False,False,3,2010,0.1393034825870647,True,True,False,199,28,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True
0SLu6i6Rm2g,73474,503,172,289,False,False,False,95,0.2210526315789474,False,False,6,1509,0.16500994035785288,True,True,False,198,30,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
0URpDxIjZrQ,6095300,164449,4190,18665,False,False,False,34,0.11764705882352944,False,False,1,1545,0.062135922330097126,True,True,False,154,25,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
0VQysq26ozE,23274,481,52,86,False,False,False,40,0.15000000000000002,False,False,5,2604,0.07258064516129037,True,True,False,223,33,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
0VsgQmCPgoI,103429,4547,80,444,False,False,False,26,0.8076923076923077,False,False,2,1804,0.20454545454545459,True,True,False,338,33,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0W86V2KcqiU,778276,85086,544,5692,False,False,False,34,0.4411764705882353,False,False,2,1780,0.15617977528089888,True,True,False,165,23,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True
0XElmYomloA,58053323,202514,8712,3509,False,False,False,53,0.15094339622641506,False,False,4,3408,0.0425469483568075,True,True,False,251,40,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0XR-FwfdOos,14236,47,60,55,False,False,False,61,0.049180327868852514,False,False,9,123,0.04878048780487809,False,False,False,7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0XuOkYlUWIs,8725060,253421,9949,26527,False,False,False,58,0.13793103448275867,False,False,8,1271,0.10149488591660105,True,True,False,157,32,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
0Yp9WS6cJFA,369291,15019,197,1698,False,False,False,44,0.15909090909090906,False,False,1,2601,0.09419454056132259,True,True,True,193,11,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0aan7Vtcco0,8938666,55124,7676,8469,False,False,False,95,0.10526315789473684,False,False,7,414,0.12560386473429952,True,True,False,41,32,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0enOVnTDmqA,218541,4450,32,169,False,False,False,56,0.1785714285714286,False,False,2,1257,0.08035003977724742,True,True,False,135,25,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,True,True
0fOZ4Nwm5Pg,118828,1061,238,741,False,False,False,96,0.23958333333333337,False,False,8,1148,0.10017421602787457,True,True,True,103,14,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0gLsukihjVg,159557,9914,849,3908,False,False,False,41,0.07317073170731703,False,False,6,650,0.12923076923076926,True,True,False,91,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0gv90B5DIPo,130918,1636,365,1785,False,False,False,52,0.15384615384615385,False,False,3,1289,0.03335919317300229,True,True,False,222,11,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0gwkMY-mzUQ,786404,37608,770,1831,False,False,False,51,0.1568627450980392,False,False,7,36,0.11111111111111116,False,False,False,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0hcp-eMOn4E,96699,9267,44,854,False,False,False,31,0.19354838709677424,False,False,3,939,0.10862619808306706,True,True,False,125,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0lXX3dJUAGY,353435,13961,514,1200,False,False,False,35,0.1428571428571429,False,False,1,1924,0.06548856548856552,True,True,False,215,35,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0ldBURP-cWo,242354,6173,79,445,False,False,False,64,0.0625,False,False,3,334,0.0359281437125748,True,True,False,28,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0nybdPCuvRI,798144,3356,287,1299,False,False,False,52,0.13461538461538458,False,False,3,942,0.13481953290870485,True,True,False,126,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
0oXu0XfXYYE,1020294,59974,3081,472,False,False,False,34,0.1470588235294118,False,False,3,2981,0.11003019121100299,True,True,False,429,21,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
0uJUW24505E,4838733,88297,1748,5540,False,False,False,72,0.5416666666666667,False,False,7,435,0.06896551724137934,True,True,False,61,10,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11K013qpRR4,3128325,38937,1198,6580,False,False,False,31,0.22580645161290325,False,False,2,24,0.29166666666666663,False,False,False,0,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
12B8DNBoYRA,105743,2044,122,948,False,False,False,42,0.16666666666666663,False,False,5,42,0.16666666666666663,False,False,False,5,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13434sOl4Zo,77145,230,4,26,False,False,False,28,0.0357142857142857,False,False,2,4,0.25,False,False,False,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
137EH-5jNLI,1346522,22986,384,861,False,False,False,32,0.125,False,False,2,154,0.11038961038961037,True,True,False,17,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
